Gene	RAWVALUE	VALUE
LMOf2365_0308	2.0	1.0
LMOf2365_0309	0.0	0.0
LMOf2365_0310	1.0	1.0
LMOf2365_0311	2.0	1.0
LMOf2365_0312	12.0	3.584962501
LMOf2365_0313	0.0	0.0
LMOf2365_0314	1.0	1.0
LMOf2365_0315	2.0	1.0
LMOf2365_0316	0.0	0.0
LMOf2365_0317	0.0	0.0
LMOf2365_0318	2.0	1.0
LMOf2365_0319	2.0	1.0
LMOf2365_0320	9.0	3.169925001
LMOf2365_0321	0.0	0.0
LMOf2365_0322	0.0	0.0
LMOf2365_0323	0.0	0.0
LMOf2365_0324	0.0	0.0
LMOf2365_0325	2.0	1.0
LMOf2365_0326	0.0	0.0
LMOf2365_0327	2.0	1.0
LMOf2365_0328	3.0	1.584962501
LMOf2365_0329	2.0	1.0
LMOf2365_0330	0.0	0.0
LMOf2365_0331	0.0	0.0
LMOf2365_0332	0.0	0.0
LMOf2365_0333	0.0	0.0
LMOf2365_0334	0.0	0.0
LMOf2365_0335	1.0	1.0
LMOf2365_0336	0.0	0.0
LMOf2365_0337	0.0	0.0
LMOf2365_0338	1.0	1.0
LMOf2365_0339	0.0	0.0
LMOf2365_0340	0.0	0.0
LMOf2365_0341	0.0	0.0
LMOf2365_0342	2.0	1.0
LMOf2365_0343	0.0	0.0
LMOf2365_0344	2.0	1.0
LMOf2365_0345	7.0	2.807354922
LMOf2365_0346	0.0	0.0
LMOf2365_0347	0.0	0.0
LMOf2365_0348	0.0	0.0
LMOf2365_0349	3.0	1.584962501
LMOf2365_0350	0.0	0.0
LMOf2365_0351	20.0	4.321928095
LMOf2365_0352	3.0	1.584962501
LMOf2365_0353	0.0	0.0
LMOf2365_0354	0.0	0.0
LMOf2365_0355	0.0	0.0
LMOf2365_0356	0.0	0.0
LMOf2365_0357	0.0	0.0
LMOf2365_0358	0.0	0.0
LMOf2365_0359	0.0	0.0
LMOf2365_0360	2.0	1.0
LMOf2365_0361	0.0	0.0
LMOf2365_0362	1.0	1.0
LMOf2365_0363	0.0	0.0
LMOf2365_0364	4.0	2.0
LMOf2365_0365	2.0	1.0
LMOf2365_0366	0.0	0.0
LMOf2365_0367	0.0	0.0
LMOf2365_0368	2.0	1.0
LMOf2365_0369	0.0	0.0
LMOf2365_0370	0.0	0.0
LMOf2365_0371	0.0	0.0
LMOf2365_0372	0.0	0.0
LMOf2365_0373	0.0	0.0
LMOf2365_0374	0.0	0.0
LMOf2365_0375	1.0	1.0
LMOf2365_0376	4.0	2.0
LMOf2365_0377	1.0	1.0
LMOf2365_0378	0.0	0.0
LMOf2365_0379	7.0	2.807354922
LMOf2365_0380	0.0	0.0
LMOf2365_0381	2.0	1.0
LMOf2365_0382	0.0	0.0
LMOf2365_0383	5.0	2.321928095
LMOf2365_0384	2.0	1.0
LMOf2365_0385	1.0	1.0
LMOf2365_0386	2.0	1.0
LMOf2365_0387	15.0	3.906890596
LMOf2365_0388	2.0	1.0
LMOf2365_0389	1.0	1.0
LMOf2365_0390	0.0	0.0
LMOf2365_0391	0.0	0.0
LMOf2365_0392	12.0	3.584962501
LMOf2365_0393	2.0	1.0
LMOf2365_0394	0.0	0.0
LMOf2365_0395	1.0	1.0
LMOf2365_0396	0.0	0.0
LMOf2365_0397	1.0	1.0
LMOf2365_0398	3.0	1.584962501
LMOf2365_0399	0.0	0.0
LMOf2365_0400	0.0	0.0
LMOf2365_0401	0.0	0.0
LMOf2365_0402	0.0	0.0
LMOf2365_0403	4.0	2.0
LMOf2365_0404	0.0	0.0
LMOf2365_0405	10.0	3.321928095
LMOf2365_0406	0.0	0.0
LMOf2365_0407	0.0	0.0
LMOf2365_0408	1.0	1.0
LMOf2365_0409	0.0	0.0
LMOf2365_0410	0.0	0.0
LMOf2365_0411	0.0	0.0
LMOf2365_0412	0.0	0.0
LMOf2365_0413	0.0	0.0
LMOf2365_0414	1.0	1.0
LMOf2365_0415	0.0	0.0
LMOf2365_0416	1.0	1.0
LMOf2365_0417	2.0	1.0
LMOf2365_0418	0.0	0.0
LMOf2365_0419	0.0	0.0
LMOf2365_0420	0.0	0.0
LMOf2365_0421	3.0	1.584962501
LMOf2365_0422	13.0	3.700439718
LMOf2365_0423	0.0	0.0
LMOf2365_0424	0.0	0.0
LMOf2365_0425	2.0	1.0
LMOf2365_0426	4.0	2.0
LMOf2365_0427	1.0	1.0
LMOf2365_0428	0.0	0.0
LMOf2365_0429	0.0	0.0
LMOf2365_0430	2.0	1.0
LMOf2365_0431	2.0	1.0
LMOf2365_0432	0.0	0.0
LMOf2365_0433	0.0	0.0
LMOf2365_0434	4.0	2.0
LMOf2365_0435	0.0	0.0
LMOf2365_0436	0.0	0.0
LMOf2365_0437	1.0	1.0
LMOf2365_0438	0.0	0.0
LMOf2365_0439	1.0	1.0
LMOf2365_0440	2.0	1.0
LMOf2365_0441	3.0	1.584962501
LMOf2365_0442	0.0	0.0
LMOf2365_0443	0.0	0.0
LMOf2365_0444	0.0	0.0
LMOf2365_0445	1.0	1.0
LMOf2365_0446	0.0	0.0
LMOf2365_0447	3.0	1.584962501
LMOf2365_0448	1.0	1.0
LMOf2365_0449	2.0	1.0
LMOf2365_0450	5.0	2.321928095
LMOf2365_0451	0.0	0.0
LMOf2365_0452	3.0	1.584962501
LMOf2365_0453	0.0	0.0
LMOf2365_0454	0.0	0.0
LMOf2365_0455	0.0	0.0
LMOf2365_0456	0.0	0.0
LMOf2365_0457	0.0	0.0
LMOf2365_0458	0.0	0.0
LMOf2365_0459	0.0	0.0
LMOf2365_0460	0.0	0.0
LMOf2365_0461	0.0	0.0
LMOf2365_0462	0.0	0.0
LMOf2365_0463	1.0	1.0
LMOf2365_0464	0.0	0.0
LMOf2365_0465	0.0	0.0
LMOf2365_0466	1.0	1.0
LMOf2365_0467	3.0	1.584962501
LMOf2365_0468	0.0	0.0
LMOf2365_0469	1.0	1.0
LMOf2365_0470	0.0	0.0
LMOf2365_0471	1.0	1.0
LMOf2365_0473	0.0	0.0
LMOf2365_0474	0.0	0.0
LMOf2365_0475	0.0	0.0
LMOf2365_0476	1.0	1.0
LMOf2365_0477	0.0	0.0
LMOf2365_0478	5.0	2.321928095
LMOf2365_0479	0.0	0.0
LMOf2365_0480	2.0	1.0
LMOf2365_0481	0.0	0.0
LMOf2365_0482	0.0	0.0
LMOf2365_0483	0.0	0.0
LMOf2365_0484	0.0	0.0
LMOf2365_0485	1.0	1.0
LMOf2365_0486	0.0	0.0
LMOf2365_0487	0.0	0.0
LMOf2365_0488	6.0	2.584962501
LMOf2365_0489	0.0	0.0
LMOf2365_0490	0.0	0.0
LMOf2365_0491	0.0	0.0
LMOf2365_0492	1.0	1.0
LMOf2365_0493	0.0	0.0
LMOf2365_0494	0.0	0.0
LMOf2365_0495	1.0	1.0
LMOf2365_0496	0.0	0.0
LMOf2365_0497	0.0	0.0
LMOf2365_0498	0.0	0.0
LMOf2365_0499	0.0	0.0
LMOf2365_0500	0.0	0.0
LMOf2365_0501	1.0	1.0
LMOf2365_0502	1.0	1.0
LMOf2365_0503	0.0	0.0
LMOf2365_0504	0.0	0.0
LMOf2365_0505	1.0	1.0
LMOf2365_0506	0.0	0.0
LMOf2365_0507	0.0	0.0
LMOf2365_0508	3.0	1.584962501
LMOf2365_0509	2.0	1.0
LMOf2365_0510	1.0	1.0
LMOf2365_0511	3.0	1.584962501
LMOf2365_0512	0.0	0.0
LMOf2365_0513	1.0	1.0
LMOf2365_0514	0.0	0.0
LMOf2365_0515	0.0	0.0
LMOf2365_0516	0.0	0.0
LMOf2365_0517	0.0	0.0
LMOf2365_0518	1.0	1.0
LMOf2365_0519	0.0	0.0
LMOf2365_0520	0.0	0.0
LMOf2365_0521	6.0	2.584962501
LMOf2365_0522	0.0	0.0
LMOf2365_0523	0.0	0.0
LMOf2365_0524	0.0	0.0
LMOf2365_0525	2.0	1.0
LMOf2365_0526	0.0	0.0
LMOf2365_0527	1.0	1.0
LMOf2365_0528	0.0	0.0
LMOf2365_0529	0.0	0.0
LMOf2365_0530	3.0	1.584962501
LMOf2365_0531	0.0	0.0
LMOf2365_0532	4.0	2.0
LMOf2365_0533	0.0	0.0
LMOf2365_0534	1.0	1.0
LMOf2365_0535	0.0	0.0
LMOf2365_0536	0.0	0.0
LMOf2365_0537	0.0	0.0
LMOf2365_0538	2.0	1.0
LMOf2365_0539	3.0	1.584962501
LMOf2365_0540	0.0	0.0
LMOf2365_0541	0.0	0.0
LMOf2365_0542	0.0	0.0
LMOf2365_0543	3.0	1.584962501
LMOf2365_0544	0.0	0.0
LMOf2365_0545	3.0	1.584962501
LMOf2365_0546	0.0	0.0
LMOf2365_0547	0.0	0.0
LMOf2365_0548	0.0	0.0
LMOf2365_0549	7.0	2.807354922
LMOf2365_0550	0.0	0.0
LMOf2365_0551	0.0	0.0
LMOf2365_0552	2.0	1.0
LMOf2365_0553	0.0	0.0
LMOf2365_0554	1.0	1.0
LMOf2365_0555	0.0	0.0
LMOf2365_0556	0.0	0.0
LMOf2365_0557	0.0	0.0
LMOf2365_0558	7.0	2.807354922
LMOf2365_0559	1.0	1.0
LMOf2365_0560	0.0	0.0
LMOf2365_0561	4.0	2.0
LMOf2365_0562	0.0	0.0
LMOf2365_0563	0.0	0.0
LMOf2365_0564	1.0	1.0
LMOf2365_0565	2.0	1.0
LMOf2365_0566	0.0	0.0
LMOf2365_0567	14.0	3.807354922
LMOf2365_0568	5.0	2.321928095
LMOf2365_0569	0.0	0.0
LMOf2365_0570	10.0	3.321928095
LMOf2365_0571	0.0	0.0
LMOf2365_0572	3.0	1.584962501
LMOf2365_0573	0.0	0.0
LMOf2365_0574	4.0	2.0
LMOf2365_0575	0.0	0.0
LMOf2365_0576	0.0	0.0
LMOf2365_0577	0.0	0.0
LMOf2365_0578	2.0	1.0
LMOf2365_0579	0.0	0.0
LMOf2365_0580	0.0	0.0
LMOf2365_0581	2.0	1.0
LMOf2365_0582	5.0	2.321928095
LMOf2365_0583	0.0	0.0
LMOf2365_0584	0.0	0.0
LMOf2365_0585	0.0	0.0
LMOf2365_0586	0.0	0.0
LMOf2365_0587	7.0	2.807354922
LMOf2365_0588	0.0	0.0
LMOf2365_0589	4.0	2.0
