Gene	LogFc_0	LogFc_1	LogFc_2	LOGFC	STDEV
lmo0057	2.727986210405353	0.17698148604852193	0.2142647162228224	0.2976143465593939	1.193864448533899
lmo0058	1.408737685245241	2.354977144896096	1.772715947150342	1.8560655774869135	0.38971177277289343
lmo0059	1.278339609386319	0.32168697563203086	1.6693662917650758	1.3616892397228906	0.5661100861860296
lmo0060	0.6740573691801917	-0.12702893265645265	2.2566693283511716	0.7574069995167632	0.9904217550469256
lmo0061	0.6806853789009102	2.821615987021932	0.031352986476850475	0.7640350092374817	1.1921401873591995
lmo0062	-0.4005335704155577	-1.2514406408285623	-0.2653217750911345	-0.3171839400789862	0.4364955758254814
lmo0063	0.053837599239345835	0.34924621218561125	0.44824629493570356	0.43259584252218275	0.16753954234026322
lmo0064	1.1094502679417024	-0.8478733922248223	2.0191218264055335	1.192799898278274	1.1962106762873717
lmo0065	1.0642437809356675	0.7815828136374527	1.4270908221833265	1.147593411272239	0.26420442146039574
lmo0066	0.7465271370053452	0.804004654473756	0.3892344009319961	0.8298767673419167	0.18348361340342792
lmo0067	-1.000530096758168	-0.8911111591401859	-0.5447185474985332	-0.8077615288036144	0.19428630470057495
lmo0068	1.4318156151282961	-0.024489128275003047	0.9407712251268672	1.0241208554634387	0.6049495523926243
lmo0069	0.8711203982707625	-0.16200872410936018	3.0220068210090396	0.954470028607334	1.326299077156071
lmo0070	0.6141156043414471	1.7011904643738998	1.0472137348596622	1.1305633651962337	0.44683968100913213
lmo0071	1.0355568525582806	0.11406808761786458	-2.6209327340043673	0.19741771795443608	1.5527497879148597
lmo0072	-0.02952614520710739	-1.6744766487052978	1.0755352620623464	0.05382348512946411	1.1298765115493916
lmo0073	0.4291298332838922	-0.24224691605396664	-0.0833496303365715	0.0	0.28647867626531487
lmo0074	1.1231950220320313	-1.3582089499036103	0.7678303361470267	0.8511799664835982	1.095632378418095
lmo0075	-0.7313949537262792	-1.688023643296984	0.058119258955958486	-0.6480453233897077	0.7139472573754501
lmo0076	-1.5029157618501783	-1.0744328962312188	-3.5789535690498635	-1.4195661315136068	1.0937272838848653
lmo0077	-2.344562114050171	-1.4272410411712215	-3.566317520024313	-2.2612124837135994	0.8762174010520299
