Gene	LogFc_0	LogFc_1	LogFc_2	LOGFC	STDEV
lmo0082	1.9593441854234177	-0.05164273933883834	0.8043506375079676	0.9036724840737032	0.8240012923733577
lmo0083	-0.8683821332535171	-0.908920834283478	-1.613060992025627	-0.8095989877177425	0.34189071527617126
lmo0084	-2.089063918442883	-1.1783843965637208	-2.6851922143222886	-1.9897420718771475	0.6196034517134046
lmo0085	-1.5395227713299002	0.45995296700348653	0.8083553189071533	0.559274813569222	1.0345057302677365
lmo0086	0.07086611033022994	1.4403428831210299	1.5808569432883441	1.5396647296867654	0.6811169868463408
lmo0087	-0.26197771783903523	-0.06366259714041966	0.41609411208217395	0.03565924942531584	0.2846590150561225
lmo0088	0.18816898210471233	0.5240684127281972	1.822907742684559	0.6233902592939327	0.7049178713294513
lmo0089	0.48162924798881646	0.052843457940772165	0.608305958016778	0.580951094554552	0.2376839244789228
lmo0090	2.6815794392703376	4.024001160539566	2.7955675050277478	2.8948893515934833	0.607740679609019
lmo0091	0.899785034443509	0.04247697580306209	1.116354663164092	0.9991068810092445	0.46369204326745156
lmo0092	1.0474710600624482	1.2053933909454377	3.206710393358848	1.3047152375111732	0.9827695392328082
lmo0093	0.5485743986890634	0.5350138328205443	0.4295290246285237	0.6343356793862798	0.05321104186914128
lmo0094	0.08793389248840455	0.05899647612334036	1.8557149816671465	0.18725573905414006	0.8402436644931195
lmo0095	-0.9580787131416884	-1.379311108614555	0.622436446252336	-0.8587568665759528	0.861681700287016
lmo0096	-2.875285258832296	-2.6790565197429332	-1.6985448794863967	-2.5797346731771977	0.5147412203240573
lmo0097	-2.7199911533122414	-2.726151431655796	-1.5374862287126518	-2.620669306746506	0.5588958172066127
lmo0098	-2.3916220014750866	-2.3013746766733005	-1.399213300659376	-2.202052830107565	0.4480717647703756
lmo0099	-2.191788432243303	-2.171913988754338	-1.0494056584158162	-2.0725921421886024	0.5339016084054309
lmo0100	-1.3871145600398203	-0.4551283512806972	-0.7468377941801858	-0.6475159476144503	0.3892509943316504
lmo0101	-0.8306466831573145	-0.7571367187038751	-1.7825732325276844	-0.731324836591579	0.4670341308195382
lmo0102	0.9870294875951746	1.4101935030091317	0.6279785789076024	1.0863513341609101	0.3196952587939184
lmo0103	0.5210466527418287	1.8828053293124336	0.07660475569061642	0.6203684993075642	0.7684237694586663
lmo0104	0.17423800766235154	-1.0921229973440747	-0.8622375096112496	-0.7629156630455141	0.550837648029357
lmo0105	-2.206613440384883	-1.822735087026734	0.8480554330175161	-1.7234132404609985	1.3585730470799413
lmo0106	-2.1692441696187954	-1.096882154770265	-0.8835994792055226	-0.9975603082045295	0.5625667427637062
lmo0107	0.4083667251401071	0.2868270790280567	1.014073984651234	0.5076885717058426	0.3180742805523419
lmo0108	-0.6928947561388012	-0.0993218465657355	1.6782227575776556	0.0	1.0074275205553793
lmo0109	-0.10778402968364453	-1.1059425846966944	1.159093043037097	-0.008462183117909028	0.926863553018975
lmo0110	-0.601267973651046	-1.2011552642556884	1.5387610443602515	-0.5019461270853105	1.1759974649244678
lmo0111	-3.0949890472596318	-0.719416009609164	3.013313979975633	-0.6200941630434285	2.5141374996626378
lmo0112	0.5633091527894676	0.303256710756699	0.7676587011043079	0.6626309993552031	0.1900453802947852
lmo0113	1.6849571325730937	1.055319327315635	1.786856144268464	1.7842789791388292	0.3235176946820339
lmo0114	2.0581498545965564	1.0302688432322702	1.7893039807295272	1.8886258272952627	0.435246011836228
lmo0115	1.538909937666877	3.8576670405206777	5.251506315503432	3.956988887086413	1.5312592599718011
lmo0116	1.4438724448356348	3.7426149419703725	4.568124298888126	3.841936788536108	1.3218939448988607
lmo0117	2.414136112180156	2.781704764933078	6.627946183710254	2.8810266114988137	1.9056895831206833
lmo0118	2.2226107840286247	3.400260120931528	7.20604107172824	3.4995819674972637	2.1266928953063053
