GenomeElements	RAWVALUE	VALUE
lmo0317	0.0	0.0
lmo0318	2.0	1.0
lmo0319	0.0	0.0
lmo0320	0.0	0.0
lmo0321	0.0	0.0
lmo0322	3.0	1.584962501
lmo0323	0.0	0.0
lmo0324	0.0	0.0
lmo0325	2.0	1.0
lmo0326	0.0	0.0
lmo0327	0.0	0.0
lmo0328	3.0	1.584962501
lmo0329	0.0	0.0
lmo0330	0.0	0.0
lmo0331	3.0	1.584962501
lmo0332	0.0	0.0
lmo0333	10.0	3.321928095
lmo0334	0.0	0.0
lmo0335	0.0	0.0
lmo0336	0.0	0.0
lmo0337	4.0	2.0
lmo0338	0.0	0.0
lmo0339	1.0	1.0
lmo0340	1.0	1.0
lmo0341	1.0	1.0
lmo0342	0.0	0.0
lmo0343	0.0	0.0
lmo0344	0.0	0.0
lmo0345	0.0	0.0
lmo0346	0.0	0.0
lmo0347	0.0	0.0
lmo0348	0.0	0.0
lmo0349	0.0	0.0
lmo0350	1.0	1.0
lmo0351	0.0	0.0
lmo0352	0.0	0.0
lmo0353	0.0	0.0
lmo0354	0.0	0.0
lmo0355	0.0	0.0
lmo0356	0.0	0.0
lmo0357	2.0	1.0
lmo0358	3.0	1.584962501
lmo0359	0.0	0.0
lmo0360	4.0	2.0
lmo0360a	0.0	0.0
lmo0361	0.0	0.0
lmo0362	0.0	0.0
lmo0363	0.0	0.0
lmo0364	0.0	0.0
lmo0365	0.0	0.0
lmo0366	1.0	1.0
lmo0367	4.0	2.0
lmo0368	0.0	0.0
lmo0369	0.0	0.0
lmo0370	0.0	0.0
lmo0371	0.0	0.0
lmo0372	0.0	0.0
lmo0373	0.0	0.0
lmo0374	0.0	0.0
lmo0375	2.0	1.0
lmo0376	0.0	0.0
lmo0377	0.0	0.0
lmo0378	1.0	1.0
lmo0379	0.0	0.0
lmo0380	0.0	0.0
lmo0381	4.0	2.0
lmo0382	0.0	0.0
lmo0383	0.0	0.0
lmo0384	1.0	1.0
lmo0385	0.0	0.0
lmo0386	0.0	0.0
lmo0387	0.0	0.0
lmo0388	0.0	0.0
lmo0389	0.0	0.0
lmo0390	3.0	1.584962501
lmo0391	0.0	0.0
lmo0392	2.0	1.0
lmo0393	0.0	0.0
lmo0394	0.0	0.0
lmo0395	0.0	0.0
lmo0396	2.0	1.0
lmo0397	9.0	3.169925001
lmo0398	0.0	0.0
lmo0399	10.0	3.321928095
lmo0400	0.0	0.0
lmo0401	0.0	0.0
lmo0402	0.0	0.0
lmo0403	0.0	0.0
lmo0404	0.0	0.0
lmo0405	0.0	0.0
lmo0406	0.0	0.0
lmo0407	0.0	0.0
lmo0408	1.0	1.0
lmo0409	0.0	0.0
lmo0410	0.0	0.0
lmo0411	0.0	0.0
lmo0412	0.0	0.0
lmo0413	0.0	0.0
lmo0414	0.0	0.0
lmo0415	0.0	0.0
lmo0416	0.0	0.0
lmo0417	1.0	1.0
lmo0418	0.0	0.0
lmo0419	0.0	0.0
lmo0420	0.0	0.0
lmo0421	2.0	1.0
lmo0422	2.0	1.0
lmo0423	1.0	1.0
lmo0424	0.0	0.0
lmo0425	0.0	0.0
lmo0426	2.0	1.0
lmo0427	0.0	0.0
lmo0428	0.0	0.0
lmo0429	0.0	0.0
lmo0430	0.0	0.0
lmo0431	0.0	0.0
lmo0432	0.0	0.0
lmo0433	4.0	2.0
lmo0434	4.0	2.0
lmo0435	12.0	3.584962501
lmo0436	2.0	1.0
lmo0437	4.0	2.0
lmo0438	0.0	0.0
lmo0439	0.0	0.0
lmo0440	0.0	0.0
lmo0441	0.0	0.0
lmo0442	1.0	1.0
lmo0443	0.0	0.0
lmo0444	13.0	3.700439718
lmo0445	1.0	1.0
lmo0446	0.0	0.0
lmo0447	1.0	1.0
lmo0448	1.0	1.0
lmo0448a	0.0	0.0
lmo0449	0.0	0.0
lmo0450	1.0	1.0
lmo0451	2.0	1.0
lmo0452	0.0	0.0
lmo0453	0.0	0.0
lmo0454	0.0	0.0
lmo0455	0.0	0.0
lmo0456	0.0	0.0
lmo0457	2.0	1.0
lmo0458	0.0	0.0
lmo0459	9.0	3.169925001
lmo0460	0.0	0.0
lmo0461	0.0	0.0
lmo0462	0.0	0.0
lmo0463	1.0	1.0
lmo0464	0.0	0.0
lmo0464a	0.0	0.0
lmo0465	0.0	0.0
lmo0466	2.0	1.0
lmo0467	0.0	0.0
lmo0468	0.0	0.0
lmo0469	0.0	0.0
lmo0470	2.0	1.0
lmo0471	0.0	0.0
lmo0472	2.0	1.0
lmo0473	0.0	0.0
lmo0474	0.0	0.0
lmo0475	0.0	0.0
lmo0476	1.0	1.0
lmo0477	2.0	1.0
lmo0478	2.0	1.0
lmo0479	0.0	0.0
lmo0480	1.0	1.0
lmo0481	0.0	0.0
lmo0482	0.0	0.0
lmo0483	0.0	0.0
lmo0484	0.0	0.0
lmo0485	0.0	0.0
lmo0486	0.0	0.0
lmo0487	0.0	0.0
lmo0488	0.0	0.0
lmo0489	0.0	0.0
lmo0490	0.0	0.0
lmo0491	0.0	0.0
lmo0492	2.0	1.0
lmo0493	2.0	1.0
lmo0494	5.0	2.321928095
lmo0495	0.0	0.0
lmo0496	0.0	0.0
lmo0497	2.0	1.0
lmo0498	0.0	0.0
lmo0499	4.0	2.0
lmo0500	0.0	0.0
lmo0501	0.0	0.0
lmo0502	0.0	0.0
lmo0503	0.0	0.0
lmo0504	0.0	0.0
lmo0505	0.0	0.0
lmo0506	0.0	0.0
lmo0507	0.0	0.0
lmo0508	23.0	4.523561956
lmo0509	0.0	0.0
lmo0510	0.0	0.0
lmo0511	1.0	1.0
lmo0512	0.0	0.0
lmo0513	0.0	0.0
lmo0514	0.0	0.0
lmo0515	0.0	0.0
lmo0516	0.0	0.0
lmo0517	0.0	0.0
lmo0518	0.0	0.0
lmo0519	1.0	1.0
lmo0520	0.0	0.0
lmo0521	5.0	2.321928095
lmo0522	1.0	1.0
lmo0523	0.0	0.0
lmo0524	1.0	1.0
lmo0525	8.0	3.0
lmo0526	0.0	0.0
lmo0527	4.0	2.0
lmo0528	1.0	1.0
lmo0529	0.0	0.0
lmo0530	0.0	0.0
lmo0531	6.0	2.584962501
lmo0532	0.0	0.0
lmo0533	1.0	1.0
lmo0534	3.0	1.584962501
lmo0535	0.0	0.0
lmo0536	0.0	0.0
lmo0537	4.0	2.0
lmo0538	0.0	0.0
lmo0539	0.0	0.0
lmo0540	2.0	1.0
lmo0541	0.0	0.0
lmo0542	0.0	0.0
lmo0543	0.0	0.0
lmo0544	1.0	1.0
lmo0545	0.0	0.0
lmo0546	3.0	1.584962501
lmo0547	0.0	0.0
lmo0548	0.0	0.0
lmo0549	0.0	0.0
lmo0550	1.0	1.0
lmo0551	0.0	0.0
lmo0552	0.0	0.0
lmo0553	0.0	0.0
lmo0554	1.0	1.0
lmo0555	0.0	0.0
lmo0556	2.0	1.0
lmo0557	0.0	0.0
lmo0558	0.0	0.0
lmo0559	0.0	0.0
lmo0560	0.0	0.0
lmo0561	4.0	2.0
lmo0562	0.0	0.0
lmo0563	0.0	0.0
lmo0564	0.0	0.0
lmo0565	0.0	0.0
lmo0566	0.0	0.0
lmo0567	1.0	1.0
lmo0568	1.0	1.0
lmo0569	1.0	1.0
lmo0570	4.0	2.0
lmo0571	0.0	0.0
lmo0572	0.0	0.0
lmo0573	0.0	0.0
lmo0574	5.0	2.321928095
lmo0575	0.0	0.0
lmo0576	0.0	0.0
lmo0577	0.0	0.0
lmo0578	0.0	0.0
lmo0579	0.0	0.0
lmo0580	0.0	0.0
lmo0581	1.0	1.0
lmo0582	4.0	2.0
lmo0583	0.0	0.0
lmo0584	0.0	0.0
lmo0585	0.0	0.0
lmo0586	0.0	0.0
lmo0587	0.0	0.0
lmo0588	0.0	0.0
lmo0589	0.0	0.0
lmo0590	0.0	0.0
lmo0591	0.0	0.0
lmo0592	0.0	0.0
lmo0593	0.0	0.0
lmo0594	3.0	1.584962501
lmo0595	0.0	0.0
lmo0596	0.0	0.0
lmo0597	3.0	1.584962501
lmo0597a	0.0	0.0
lmo0599	0.0	0.0
lmo0600	0.0	0.0
lmo0601	1.0	1.0
lmo0602	0.0	0.0
lmo0603	0.0	0.0
lmo0604	0.0	0.0
lmo0605	0.0	0.0
lmo0606	0.0	0.0
lmo0607	0.0	0.0
lmo0608	4.0	2.0
lmo0609	0.0	0.0
lmo0610	0.0	0.0
lmo0611	0.0	0.0
lmo0612	0.0	0.0
lmo0613	0.0	0.0
lmo0614	1.0	1.0
lmo0615	0.0	0.0
lmo0616	0.0	0.0
lmo0617	0.0	0.0
lmo0618	0.0	0.0
lmo0619	0.0	0.0
lmo0620	1.0	1.0
lmo0621	0.0	0.0
